continent,country,position,positionlabel,officeholder,officeholderlabel,start_year,end_year
Asia,Sri Lanka,Q1758894,Prime Minister of Sri Lanka,Q57338,Mahinda Rajapaksa,2019,
Asia,Syria,Q648464,President of Syria,Q44329,Bashar al-Assad,2000,
Asia,Syria,Q7243302,Prime Minister of Syria,Q60455401,Hussein Arnous,2020,
Asia,Syria,Q32506,President of the Syrian National Coalition,Q107958056,Salem al-Meslet,2021,
Asia,Syria,Q15020959,Prime Minister of the Syrian National Coalition,Q22007095,Abdurrahman Mustafa,2019,
Asia,Syria,Q42662921,Syrian Salvation Government,Q98153213,Ali Keda,2019,
Asia,Taiwan (Republic of China),Q887003,President of the Republic of China,Q233984,Tsai Ing-wen,2016,
Asia,Taiwan (Republic of China),Q702650,Premier of the Republic of China,Q551904,Su Tseng-chang,2019,
Asia,Tajikistan,Q1044136,President of Tajikistan,Q57366,Emomali Rahmon,1992,
Asia,Tajikistan,Q2734978,Prime Minister of Tajikistan,Q15222839,Kokhir Rasulzoda,2013,
Asia,Thailand,Q2663787,Monarchy of Thailand,Q548733,Vajiralongkorn,2016,
Asia,Thailand,Q12376089,Prime Minister of Thailand,Q2108126,Prayut Chan-o-cha,2014,
Asia,Turkey,Q1922067,President of Turkey,Q39259,Recep Tayyip Erdoğan,2014,
Asia,Turkmenistan,Q1155759,President of Turkmenistan,Q57530,Gurbanguly Berdimuhamedow,2006,
Asia,United Arab Emirates,Q955006,President of the United Arab Emirates,Q1059948,Khalifa bin Zayed Al Nahyan,2004,
Asia,United Arab Emirates,Q1153355,Prime Minister of the United Arab Emirates,Q57655,Mohammed bin Rashid Al Maktoum,2006,
Asia,Uzbekistan,Q7466263,President of Uzbekistan,Q57808,Shavkat Mirziyoyev,2016,
Asia,Uzbekistan,Q1348717,Prime Minister of Uzbekistan,Q28002959,Abdulla Aripov,2016,
Asia,Vietnam,Q848786,General Secretary of the Communist Party of Vietnam,Q318458,Nguyễn Phú Trọng,2011,
Asia,Vietnam,Q866680,President of Vietnam,Q10800073,Nguyễn Xuân Phúc,2021,
Asia,Vietnam,Q1043568,Prime Minister of Vietnam,Q10806940,Phạm Minh Chính,2021,
Asia,Yemen,Q878256,President of Yemen,Q57480,Abdrabbuh Mansur Hadi,2012,
Asia,Yemen,Q1192903,Prime Minister of Yemen,Q57373157,Maeen Abdulmalik Saeed,2018,
Asia,Yemen,Q22947375,Head of the Supreme Political Council,Q52156087,Mahdi al-Mashat,2018,
Asia,Yemen,Q1192903,Prime Minister of Yemen,Q12223068,Abdel-Aziz bin Habtour,2016,
Europe,Abkhazia,Q1998735,President of Abkhazia,Q4086139,Aslan Bzhania,2020,
Europe,Abkhazia,Q2655879,Prime Minister of Abkhazia,Q313355,Alexander Ankvab,2020,
Europe,Albania,Q1625960,President of Albania,Q727132,Ilir Meta,2017,
Europe,Albania,Q16009376,Prime Minister of Albania,Q316901,Edi Rama,2013,
Europe,Andorra,Q29934221,Patrick Strzoda,Q29934221,Patrick Strzoda,2017,
Europe,Andorra,Q6280481,Josep Maria Mauri,Q6280481,Josep Maria Mauri,2012,
Europe,Andorra,Q30108629,Prime Minister of Andorra,Q21001195,Xavier Espot Zamora,2019,
Europe,Armenia,Q4283840,President of Armenia,Q93153,Armen Sarkissian,2018,2022
Europe,Armenia,Q4283840,President of Armenia,Q20513503,Alen Simonyan,2022,
Europe,Armenia,Q1123764,Prime Minister of Armenia,Q7035479,Nikol Pashinyan,2018,
Europe,Artsakh,Q2407022,President of Artsakh,Q440824,Arayik Harutyunyan,2020,
Europe,Austria,Q475658,President of Austria,Q78869,Alexander Van der Bellen,2017,
Europe,Austria,Q1006398,Chancellor of Austria,Q42860944,Karl Nehammer,2021,
Europe,Azerbaijan,Q205602,President of Azerbaijan,Q57371,Ilham Aliyev,2003,
Europe,Azerbaijan,Q946064,Prime Minister of Azerbaijan,Q12850075,Ali Asadov,2019,
Europe,Belarus,Q1049659,President of Belarus,Q2866,Alexander Lukashenko,1994,
Europe,Belarus,Q12379704,Prime Minister of Belarus,Q27043179,Roman Golovchenko,2020,
Europe,Belgium,Q160913,Monarchy of Belgium,Q155004,Philippe of Belgium,2013,
Europe,Belgium,Q213107,Prime Minister of Belgium,Q476596,Alexander De Croo,2020,
Europe,Bosnia and Herzegovina,Q20525169,Šefik Džaferović,Q20525169,Šefik Džaferović,2018,
Europe,Bosnia and Herzegovina,Q848335,Chairmen of the Presidency of Bosnia and Herzegovina,Q297825,Željko Komšić,2021,
Europe,Bosnia and Herzegovina,Q335688,Milorad Dodik,Q335688,Milorad Dodik,2018,
Europe,Bosnia and Herzegovina,Q16020744,Chairman of the Council of Ministers of Bosnia and Herzegovina,Q12752078,Zoran Tegeltija,2019,
Europe,Bosnia and Herzegovina,Q470446,High Representative for Bosnia and Herzegovina,Q107018,Christian Schmidt (politician),2021,
Europe,Bulgaria,Q14946265,President of Bulgaria,Q26257557,Rumen Radev,2017,
Europe,Bulgaria,Q4404583,Prime Minister of Bulgaria,Q106928258,Kiril Petkov,2021,
Europe,Croatia,Q268984,President of Croatia,Q57687,Zoran Milanović,2020,
Europe,Croatia,Q1195270,Prime Minister of Croatia,Q11685764,Andrej Plenković,2016,
Europe,Cyprus,Q841760,President of Cyprus,Q2112764,Nicos Anastasiades,2013,
Europe,Czech Republic,Q1819381,President of the Czech Republic,Q29032,Miloš Zeman,2013,
Europe,Czech Republic,Q3409229,Prime Minister of the Czech Republic,Q3377548,Petr Fiala,2021,
Europe,Denmark,Q1273134,Monarchy of Denmark,Q102139,Margrethe II of Denmark,1972,
Europe,Denmark,Q795477,Prime Minister of Denmark,Q5015,Mette Frederiksen,2019,
Europe,Donetsk People's Republic,Q16150196,Donetsk People's Republic,Q16514790,Denis Pushilin,2018,
Europe,Donetsk People's Republic,Q16150196,Donetsk People's Republic,Q57588106,Alexander Ananchenko,2018,
Europe,Estonia,Q890005,President of Estonia,Q12358575,Alar Karis,2021,
Europe,Estonia,Q737115,Prime Minister of Estonia,Q11869065,Kaja Kallas,2021,
Europe,Finland,Q29558,President of Finland,Q29207,Sauli Niinistö,2012,
Europe,Finland,Q738695,Prime Minister of Finland,Q16986436,Sanna Marin,2019,
Europe,France,Q191954,President of France,Q3052772,Emmanuel Macron,2017,
Europe,France,Q1587677,Prime Minister of France,Q3171170,Jean Castex,2020,
Europe,Georgia,Q843405,President of Georgia,Q272416,Salome Zurabishvili,2018,
Europe,Georgia,Q1975365,Prime Minister of Georgia,Q6066533,Irakli Garibashvili,2021,
